Name,EnName,Race,Rarity,HP,ATK,SPD,Mana,Col,Range,Skills
カースシード,Curseed,アンデッド,common,25,1,1.0,1,0,1行,2
ヘクススポーン,Hexspawn,アンデッド,common,50,1,2.0,2,0,1行,3
カーシール,Curseal,アンデッド,uncommon,30,1,3.0,3,1,1行,2
グリムハウル,Grimhowl,アンデッド,uncommon,20,1,2.0,2,1,1行,2
ヘクスヴァート,Hexvert,アンデッド,uncommon,10,1,3.0,1,0,1行,1
マレアンプ,Maleamp,アンデッド,uncommon,20,1,2.0,2,0,1行,1
グレイヴシフト,Gravshift,アンデッド,rare,30,2,2.0,2,0,1行,2
ソウルスティール,Soulsteal,アンデッド,rare,25,2,2.0,2,1,1行,3
バンシー,Banshee,アンデッド,rare,10,1,5,2,2,上下含む3行,1
ベインウォール,Banewall,アンデッド,rare,60,2,5.0,3,0,1行,3
レイスダンス,Wraithdance,アンデッド,rare,20,1,3.0,2,1,1行,2
ワイト,Wight,アンデッド,rare,35,4,3,3,1,1行,1
デュラハン,Dullahan,アンデッド,epic,40,7,3,4,1,上下含む3行,0
トレイトベイン,Traitbane,アンデッド,epic,50,5,2.0,2,0,1行,2
ドゥームカース,Doomcurse,アンデッド,legend,60,8,3.0,2,0,1行,2
リッチ,Lich,アンデッド,legend,15,2,3,3,2,上下含む3行,1
リッチキング,LichKing,アンデッド,legend,30,3,3,5,2,上下含む3行,1
デスナイト,デスナイト,アンデッド,god,80,15,3,0,0,上下含む3行,2
Amoeba,Amoeba,スライム,common,40,2,5,3,1,1行,2
Jelfix,Jelfix,スライム,common,40,0,10,1,1,1行,2
スライム,Slime,スライム,common,15,1,2,1,1,1行,0
Barbzel,Barbzel,スライム,uncommon,40,5,10,3,1,1行,2
Mudblob,Mudblob,スライム,uncommon,40,2,5,3,1,1行,2
Plagzel,Plagzel,スライム,uncommon,40,0,10,1,1,1行,2
Sparkblob,Sparkblob,スライム,uncommon,20,10,20,1,1,1行,1
Crystel,Crystel,スライム,rare,40,2,5,1,1,1行,2
Glitzel,Glitzel,スライム,rare,40,1,3,3,1,1行,1
Granob,Granob,スライム,rare,80,1,3,5,1,1行,2
Venpool,Venpool,スライム,rare,20,2,2,3,1,1行,2
Silenzel,Silenzel,スライム,epic,40,1,3,3,1,1行,1
Voidblob,Voidblob,スライム,epic,60,0,5,3,1,1行,3
キングスライム,Kinglob,スライム,legend,100,10,2,10,2,近接,0
Fangos,Fangos,獣,common,20,4,20,1,1,1行,2
Hawkis,Hawkis,獣,common,30,2,7,0,1,1行,1
Piercor,Piercor,獣,common,20,3,10,1,1,1行,1
Wolfpack,Wolfpack,獣,common,15,1.5,10,0,1,1行,2
Stalkor,Stalkor,獣,uncommon,25,2,7,0,1,1行,1
Thornbeast,Thornbeast,獣,uncommon,40,3,7,1,1,1行,2
Venomaw,Venomaw,獣,uncommon,20,3,10,0,1,1行,2
Voidclaw,Voidclaw,獣,uncommon,25,3,7,0,1,1行,2
ウルフ,Wolf,獣,uncommon,20,5,7,2,1,近接,0
ケットシー,CaitSith,獣,uncommon,12,2,10,2,1,1行,0
ワイルドホーク,WildHawk,獣,uncommon,15,2,7,2,2,1行,0
Rageveil,Rageveil,獣,rare,50,3,7,1,1,1行,1
マンティコア,Manticore,獣,rare,30,7,5,3,1,下含む2行,1
フェンリル,Fenrir,獣,god,70,18,7,0,0,上下含む3行,1
