# SSOT 禁止別名リスト
# 作成日: 2026-04-23
# 用途: Architect / Implementer / Checker が用語違反を自動検出するための参照
# フォーマット: 禁止語 | 代わりに使う正式語 | 理由
# 出典: CLAUDE.md 用語統一ルール / docs/design/terminology_inconsistencies.md

# ============================================================
# カードデータスキーマ違反
# ============================================================
interval | spd | 設計文書は速度で統一（逆数関係の混在禁止、CLAUDE.md）
velocity | spd | 別名を作らない
speed | spd | 別名を作らない（cards.jsonフィールド名に合わせる）
column | col | cards.jsonフィールド名に合わせる
column_index | col | cards.jsonフィールド名に合わせる
attack_power | atk | cards.jsonフィールド名に合わせる
health | hp | cards.jsonフィールド名に合わせる
hitpoints | hp | cards.jsonフィールド名に合わせる
mana_gen | mana | cards.jsonフィールド名に合わせる

# ============================================================
# トリガー同義語違反（terminology_inconsistencies.md）
# ============================================================
on_unit_placed | on_summon | 同義語。推奨形式に統一（Phase 6以降）
on_unit_died_ally | on_ally_death | 同義語。推奨形式に統一
passive | always | 同義語。推奨形式に統一

# ============================================================
# 盤面構造の表記揺れ
# ============================================================
row | 行（上行/中行/下行）| 日本語定義を使用
column | 列（前列/中列/後列）| 日本語定義を使用
前衛 | 前列 | 用語統一のため
後衛 | 後列 | 用語統一のため

# ============================================================
# 廃止済み用語（言及・実装禁止）
# ============================================================
盤面召喚 | （該当なし・廃止）| 初期配置式に統一（CLAUDE.md廃止リスト）
時間経過マナ | （該当なし・廃止）| ユニット生成マナに統一（CLAUDE.md廃止リスト）
アクティブスキル | 前列能力/サポート効果/特性 | 3秒ルール違反のため廃止
固有スキル | 前列能力/サポート効果/特性 | 同上
行範囲攻撃 | （該当なし・廃止）| 行はシナジー集め専念（CLAUDE.md廃止リスト）
本体HP | （該当なし・廃止）| 視線の置き場一本化（CLAUDE.md廃止リスト）
PvP | PvE | リアルタイム対人は廃止、PvEが本質
リアルタイム対人 | （該当なし・廃止）| 同上
